mes;marca;modelo;versao;dia;ano;vin
1;HYUNDAI;SANTA FE TM;SANTA FE TM 4X4 2.5 AUT;3;2022;KMHS381KDMU406776
1;FORD;TRANSIT VAN;TRANSIT CUSTOM FURGON 2.2;3;2022;WF0YXXTTGNTA25320
1;TOYOTA;RUSH;RUSH 1.5 MT;6;2022;MHKE8FE20NK013679
1;TOYOTA;YARIS;NEW YARIS SEDAN XLI;3;2022;MR2B29F38N1233630
1;TOYOTA;YARIS;YARIS SEDAN OTTO 1.5;6;2022;MR2B29F3XN1233712
1;HYUNDAI;STARIA MB;STARIA US4 CRDI 2.2 AUT;3;2022;KMHYB811BNU031978
1;HYUNDAI;I20 BI3;I20 BI3 1.4;3;2022;MALBG513AMM036399
1;FORD;TERRITORY;TERRITORY 1.5 AUT;24;2022;LJXCU2BB6NTF05658
1;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;6;2022;VR3EF9HPANJ518907
1;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;6;2022;VR3EF9HPANJ518908
1;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;6;2022;VR3EF9HPANJ518909
1;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;6;2022;VR3EF9HPANJ518910
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD6N1317521
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CDXN1317571
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD9N1317528
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD5N1317557
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD1N1317538
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD5N1317526
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD6N1317552
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD4N1317646
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD2N1317631
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD3N1317623
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD8N1317617
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD5N1317607
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD0N1317532
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CDXN1317537
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CDXN1317554
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD6N1317518
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD2N1317550
1;TOYOTA;HILUX;HILUX PICKUP 4P 4X4 2.4;3;2022;8AJDB3CD0N1317952
1;PEUGEOT;5008;5008 BLUEHDI 130 1.5 AUT;7;2022;VF3MCYHZUNL001188
1;HYUNDAI;GRAND I-10;GRAND I10 1.2;13;2022;MALB251CANM239757
1;HYUNDAI;STARIA MB;STARIA US4 CRDI 2.2;13;2022;KMJYA371ANU029497
1;CHEVROLET;GROOVE;GROOVE 1.5;13;2022;LZWADAGA1NG010075
1;TOYOTA;YARIS;YARIS SEDAN OTTO 1.5;6;2022;MR2B29F30N1233766
1;CHEVROLET;TRACKER;TRACKER 1.2T AUT;24;2022;9BGEN76C0NB160744
1;CHEVROLET;TRACKER;TRACKER 1.2T;24;2022;9BGEA76C0NB161365
1;CHEVROLET;TRACKER;TRACKER 1.2T;24;2022;9BGEN76C0NB145164
1;CHEVROLET;TRACKER;TRACKER 1.2T;24;2022;9BGEN76C0NB146384
1;CHEVROLET;TRACKER;TRACKER 1.2T;24;2022;9BGEN76C0NB145958
2;FORD;TERRITORY;NEW TERRITORY GTDI 1.5 AUT;2;2022;LJXCU2BB5NTF05358
1;CHEVROLET;D-MAX;D MAX E5 DCAB 4X4 2.5;5;2022;MPATFS86JNT000538
1;CHEVROLET;D-MAX;D MAX E5 DCAB 4X4 2.5;5;2022;MPATFS86JNT000576
1;CHEVROLET;D-MAX;D MAX E5 DCAB 4X4 2.5;5;2022;MPATFS86JNT000549
1;CHEVROLET;GROOVE;GROOVE 1.5;13;2022;LZWADAGA0NG010312
1;HYUNDAI;TUCSON NX4;TUCSON NX4 2.0;6;2022;KMHJB81DBNU087755
1;HYUNDAI;GRAND I-10 AI3 HB 1.2;GRAND I-10 AI3 1.2;6;2022;MALB241CANM091866
2;FORD;EDGE;EDGE 2.0 AUT;15;2022;2FMPK3J97MBA51616
2;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;1;2022;VR3EF9HPANJ527176
2;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;1;2022;VR3EF9HPANJ527175
2;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;1;2022;VR3EF9HPANJ527174
2;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;1;2022;VR3EF9HPANJ527173
2;CHEVROLET;SAIL;SAIL 1.5;1;2022;LSGHD52H3ND035725
2;CHEVROLET;SAIL;SAIL 1.5;1;2022;LSGHD52H4ND035667
2;CHEVROLET;SAIL;SAIL 1.5;1;2022;LSGHD54H7ND035157
2;CHEVROLET;SAIL;SAIL 1.5;1;2022;LSGHD52H9ND035597
2;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;23;2022;VR3EF9HPANJ530237
2;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;23;2022;VR3EF9HPANJ530238
2;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;23;2022;VR3EF9HPANJ530239
2;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;23;2022;VR3EF9HPANJ530240
2;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;23;2022;VR3EF9HPANJ530241
2;CHEVROLET;ONIX;ONIX HB PREMIER 1.0 AUT;23;2022;9BGEY48K0NG166413
2;TOYOTA;YARIS;YARIS SEDAN OTTO 1.5;23;2022;MR2B29F3XN1236643
2;TOYOTA;RAIZE;RAIZE 1.2;4;2022;MHKAB1BA8NJ002175
2;FORD;NEW RANGER;RANGER RAPTOR 4X4 2.0 AUT;1;2022;MPBUR236XNX359697
2;HYUNDAI;NEW CRETA;CRETA SU2I 1.5;23;2022;MALPB812ANM257668
1;HYUNDAI;I20 BI3;I20 BI3 1.4;6;2022;MALBG513ANM098920
1;TOYOTA;HILUX;NEW HILUX 4X4 2.4;3;2022;8AJDB3CD0N1317076
2;TOYOTA;RAV4;RAV4 OTTO 2.0;15;2022;JTMZ43FV1ND109874
2;TOYOTA;RAV4;RAV4 OTTO 2.0;15;2022;JTMZ43FV8ND110259
2;TOYOTA;RAV4;RAV4 OTTO 2.0;15;2022;JTMZ43FV2ND110385
2;CHEVROLET;SILVERADO;SILVERADO DCAB 4X4 5.3 AT;23;2022;3GCPY9ED6MG460207
3;HYUNDAI;VERNA;VERNA CB 1.4;10;2022;LBECBACBXNW165369
2;PEUGEOT;PARTNER;PARTNER HDI 92 L1 1.6;23;2022;VR3EF9HPANJ530242
1;TOYOTA;HILUX;NEW HILUX TSS MMC 4X4 2.4 MT DX;24;2022;8AJDB3CD5N1318059
1;HYUNDAI;VERNA;VERNA CB 1.4;3;2022;LBECBACB3NW164127
2;PEUGEOT;2008;2008 PURETECH 130 EAT8 1.2 AUT;15;2022;VR3USHNSSNJ529162
1;HYUNDAI;H-1;H1 CRDI 2.5 AUT;7;2022;KMHWH81KBLU163946
2;TOYOTA;RUSH;RUSH 1.5 MT;15;2022;MHKE8FE20NK014087
2;TOYOTA;RUSH;RUSH 1.5 MT;15;2022;MHKE8FE20NK013736
1;HYUNDAI;GRAND I-10;GRAND I10 1.2;14;2022;MALB241CANM092045
2;TOYOTA;RAV4;RAV4 OTTO 2.0;15;2022;JTMZ43FV4ND110355
2;HYUNDAI;TUCSON NX4;TUCSON NX4 2.0;1;2022;KMHJB81DANU101144
1;HYUNDAI;GRAND I-10;GRAND I10 HB 1.2;6;2022;MALB251CANM239572
1;HYUNDAI;GRAND I-10 AI3 HB 1.2;GRAND I-10 AI3 1.2;6;2022;MALB241CANM091822
1;HYUNDAI;GRAND I-10 AI3 HB 1.2;GRAND I-10 AI3 1.2;6;2022;MALB241CANM091897
1;PEUGEOT;3008;3008 PURETECH 1.2L;24;2022;VF3MRHNSMNS011062
1;PEUGEOT;2008;2008 ALLURE 1.2 AUT;14;2022;VR3USHNSSNJ533987
1;HYUNDAI;STARIA MB;STARIA US4 CRDI 2.2;13;2022;KMJYA371ANU029199
1;FORD;NEW ESCAPE;ESCAPE 2.5;6;2022;1FMCU9DZ1MUA84175
1;FORD;TERRITORY;TERRITORY TITANIUM 1.5 AUT;6;2022;LJXCU2BB0NTF05428
1;FORD;F-150;F150 LARIAT SPORT 4X4 5.0L AUT;6;2022;1FTFW1E52MFC13781
